id,assignment,userid,timecreated,timemodified,grader,grade,attemptnumber
102,13,26,1716284676,1716284676,6,47.50000,0
3,10,26,1711371662,1713197165,9,91.66000,0
206,21,26,1719778401,1719778409,6,100.00000,0
13,11,26,1712567882,1713458397,9,12.50000,0
72,14,26,1714472282,1716800235,9,92.26000,0
27,12,26,1713172082,1715021892,9,72.50000,0
190,19,27,1719777451,1719777481,6,87.09000,0
213,21,27,1719778660,1719778667,6,100.00000,0
23,7,27,1713007742,1713007687,-1,-1.00000,0
18,1,27,1712672462,1712672420,-1,-1.00000,0
19,3,27,1712674802,1712674766,-1,-1.00000,0
129,15,27,1717401865,1717401879,6,100.00000,0
115,14,27,1716800241,1716800260,6,97.61000,0
34,10,27,1713207669,1713207759,6,94.44000,0
158,16,27,1718205563,1718205572,6,100.00000,0
51,11,27,1713774104,1713774119,6,75.00000,0
107,13,27,1716284891,1718613242,6,57.50000,0
173,17,27,1718792543,1718792543,9,100.00000,0
43,12,27,1713462853,1715022016,9,67.50000,0
111,16,32,1716472502,1718205418,6,100.00000,0
25,11,32,1713120482,1718613172,9,77.50000,0
197,20,32,1719777976,1719777985,6,100.00000,0
177,19,32,1719063902,1719744792,9,96.77000,0
207,21,32,1719778445,1719778453,6,100.00000,0
56,12,32,1713966251,1715021915,9,70.00000,0
9,10,32,1712480102,1713197206,9,97.22000,0
74,14,32,1714724882,1716800263,9,91.66000,0
93,15,32,1715497862,1717401871,9,97.22000,0
145,18,32,1717575962,1719744978,9,100.00000,0
144,17,32,1717571462,1718792453,9,100.00000,0
60,13,32,1714119421,1716284724,6,80.00000,0
89,12,33,1715022114,1715022114,-1,-1.00000,0
31,10,35,1713197253,1713197253,9,97.22000,0
119,14,35,1716800328,1716800328,9,86.30000,0
188,18,35,1719745036,1719745036,9,88.88000,0
87,12,35,1715021965,1715021965,9,72.50000,0
156,16,35,1718205482,1718205491,6,100.00000,0
40,11,35,1713458516,1718613202,9,65.00000,0
219,21,35,1719778863,1719778872,6,100.00000,0
171,17,35,1718792499,1718792499,9,95.83000,0
